title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24
Pie Crust Cookies,Julie Clark,5, 1 ,15 minutes,10 minutes,25 minutes,24,7,3 cups all-purpose flour 390 grams,1/2 teaspoon salt,1/2 cup shortening,1/2 cup cold unsalted butter,1/2 cup ice cold water,1 tablespoon white vinegar,granulated sugar and cinnamon for sprinkling on the top,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pie-crust-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Old Fashioned Pecan Tassies,Julie Clark,4.64, 30 ,30 minutes,18 minutes,48 minutes,36,10,For the crust:,3/4 cup salted butter room temperature,5 ounces cream cheese room temperature,1 1/2 cups all-purpose flour▢For the filling:,1 ½ cups dark brown sugar,2 tablespoons salted butter melted,2 large eggs,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pecan-tassies/,½ teaspoon maple extract,½ cup finely chopped pecans▢For topping:,36 pecan halves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Cookies with Icing,Julie Clark,4.75, 8 ,20 minutes,10 minutes,30 minutes,31,15,For the cookies:,1 cup packed brown sugar,1 cup unsalted butter* room temperature,1 large egg,1 cup solid pack pumpkin purée,2 cups all-purpose flour,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-cookies/,1 teaspoon baking powder,½ teaspoon salt,1 teaspoon cinnamon,1 teaspoon pumpkin pie spice▢For the frosting:,2 tablespoons unsalted butter melted,2-3 tablespoons 2% milk,1 teaspoon vanilla extract,1 1/2 cups powdered sugar,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Chocolate Chip Bars,Julie Clark,NA,NA,15 minutes,30 minutes,45 minutes,18,15,1 cup salted butter room temperature,1 3/4 cups light brown sugar,½ cup solid pack pumpkin puree,1 tablespoon molasses,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 ½ tablespoons pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-oatmeal-chocolate-chip-bars/,1 teaspoon salt,1 teaspoon baking soda,1 teaspoon baking powder,1 1/2 cups quick cook oats,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,Extra baking chips for topping,Flaky sea salt for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Spice Chocolate Chip Cookies,Julie Clark,NA,NA,10 minutes,20 minutes,30 minutes,27,12,1 cup salted butter,1 cup light brown sugar,¼ cup pumpkin puree,1 tablespoon molasses,2 teaspoons vanilla extract,2 1/2 cups all-purpose flour*,1 tablespoon pumpkin pie spice,Tastes of Lizzy T,https://www.tastesoflizzyt.com/pumpkin-spice-chocolate-chip-cookies/,1/2 tablespoon cornstarch,1 teaspoon baking soda,1/4 teaspoon salt**,1 cup dark chocolate chips,1 cup Nestle pumpkin spice baking chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Texas Sheet Cake Cookies,Julie Clark,NA,NA,15 minutes,10 minutes,35 minutes,12,16,For the Cookies:,1/2 cup unsalted butter,1/4 cup unsweetened cocoa powder,3/4 cup granulated sugar,1 large egg,1 teaspoon pure vanilla extract,1/4 cup sour cream,Tastes of Lizzy T,https://www.tastesoflizzyt.com/texas-sheet-cake-cookies/,1 cup all-purpose flour,1/2 teaspoon baking soda,1/4 teaspoon salt▢For the Ganache Topping:,1/2 cup semi-sweet chocolate chips,2 tablespoons unsalted butter,1/2 cup heavy cream,1/2 teaspoon pure vanilla extract,Pinch of salt,"1/4 chopped pecans toasted, or walnuts",NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Julie Clark,4.61, 224 ,30 minutes,12 minutes,42 minutes,24,7,1 box fudge brownie mix (19.5 ounce or family size),1/4 cup salted butter melted,4 ounces cream cheese softened,1 large egg,1 cup powdered sugar,1 cup creamy peanut butter,4 ounces dark chocolate melting wafers or dark / semi-sweet chocolate chips,Tastes of Lizzy T,https://www.tastesoflizzyt.com/buckeye-brownie-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sheet Pan Cookies,Julie Clark,5, 2 ,10 minutes,20 minutes,30 minutes,32,9,1 1/2 cups salted butter melted,1 cup granulated sugar,1 cup packed brown sugar,2 teaspoons vanilla extract,3 large eggs,3 1/3 cups all-purpose flour,2 teaspoons baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/sheet-pan-cookies/,1 teaspoon salt,3 cups semi-sweet chocolate chips plus extra for topping if desired,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oatmeal Chocolate Chip Bars,Julie Clark,5, 4 ,15 minutes,30 minutes,45 minutes,18,11,1 cup salted butter room temperature,2 1/3 cups light brown sugar,2 large eggs,1 teaspoon vanilla extract,2 1/2 cups all-purpose flour,1 teaspoon salt,1 teaspoon baking soda,Tastes of Lizzy T,https://www.tastesoflizzyt.com/oatmeal-chocolate-chip-bars/,1 teaspoon baking powder,1 1/2 cups quick cook oats,2 cups mini chocolate chips,¼ cup semi-sweet chocolate chips for topping,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peanut Butter Monster Cookies,Julie Clark,4.82, 16 ,20 minutes,10 minutes,30 minutes,72,11,1 cup salted butter room temperature,2 cups granulated sugar,2 cups light brown sugar,3 cups peanut butter,6 large eggs,1 1/2 teaspoons corn syrup,1 1/2 teaspoons vanilla extract,Tastes of Lizzy T,https://www.tastesoflizzyt.com/peanut-butter-mm-monster-cookies/,4 teaspoons baking soda,9 cups quick cook oats,2 cups Peanut Butter M&M’s,2 cups semi-sweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
