title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Pizookie,Heather Perine,5, 1 ,15 minutes,25 minutes,40 minutes,12 servings,11,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter, melted and slightly cooled",▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg at room temperature,▢ 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 ½ cup (255 g) semi sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/pizookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birthday Cake Cookies,Heather Perine,Noratingsyet,,20 minutes,10 minutes,30 minutes,20 cookies,13,▢ 2 ¼ cups (280 g) all purpose flour spooned and leveled,▢ 2 teaspoons cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ ¾ cup (170 g) unsalted butter melted and slightly cooled,▢ ¾ cup (153 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ ½ teaspoon almond extract,Boston Girl Bakes,https://www.bostongirlbakes.com/birthday-cake-cookies/,▢ ½ cup rainbow sprinkles I like all natural sprinkles for best flavor,▢ 1 cup (170 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Heather Perine,Noratingsyet,,45 minutes,12 minutes,17 minutes,NA,20,Cookie dough,"▢ 8 ounces (226 g) semi-sweet chocolate, coarsely chopped",▢ ¾ cup (90 g) all-purpose flour (spooned & leveled),▢ ¼ cup (21 g) natural unsweetened or dutch-process cocoa powder,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,"▢ 5 Tablespoons (71 g) unsalted butter, softened to room temperature",▢ ¾ cup (150 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 2 large eggs at room temperature,▢ 2 teaspoon pure vanilla extract,Boston Girl Bakes,https://www.bostongirlbakes.com/buckeye-brownie-cookies/,▢ ½ cup (85 g) semi-sweet chocolate chips,Ganache:,▢ ½ cup (120 ml) heavy cream,▢ 4 ounces semi sweet chocolate chopped,Buckeye topping:,"▢ 2 Tablespoons (28 g) unsalted butter, melted",▢ ¾ cups (90 g) confectioners sugar (powdered sugar),▢ ½ cup (250 g) smooth peanut butter,▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Whoopie Pies,Heather Perine,Noratingsyet,,40 minutes,13 minutes,53 minutes,12 servings,19,For the whoopie pies,▢ 2 cups (250 g) all-purpose flour spooned and leveled,▢ ½ cup (45 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ 1 teaspoons instant espresso powder,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ 1 cup (200 g) packed light brown sugar,▢ 1 large egg at room temperature,▢ 2 teaspoons vanilla extract,▢ 1 cup (240 ml) buttermilk at room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-peppermint-whoopie-pies/,For the frosting:,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 2 cups (226 g) powdered sugar,▢ 7 ounces marshmallow creme,▢ ⅛ teaspoon salt,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon peppermint extract,▢ Crushed candy canes optional,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Chip Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,30 servings,10,▢ 2 ¾ cups (330 g) all purpose flour spooned and leveled,▢ ⅔ cup (56 g) Dutch process cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 12 ounces semi-sweet chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/double-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Latte Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,24 cookies,18,For the cookies,▢ 2 ½ cups (300 g) all purpose flour *spooned and leveled,▢ 1 teaspoons ground ginger,▢ 1 ½ teaspoons baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon salt,▢ 2 Tablespoons instant espresso powder,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ ¼ cup (50 g) granulated white sugar,▢ ¾ cup (160 g) light brown sugar,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/gingerbread-latte-cookies/,▢ ⅓ cup (113 g) unsulphured molasses – I used Grandma's,▢ 1 teaspoon vanilla extract,Icing:,▢ 1 cup (113 g) powdered sugar,▢ 1 teaspoon espresso powder,▢ ½ teaspoon vanilla,▢ 2 Tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Chocolate Chip Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,20 servings,12,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,▢ ¾ cup (170 g) unsalted butter melted and slightly cooled,▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ ¾ cup (128 g) semi sweet chocolate chips,▢ ½ cup (85 g) white chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/peppermint-chocolate-chip-cookies/,▢ 5 candy canes crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Crinkle Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,24 cookies,14,▢ 2 cups (240 g) all-purpose flour spooned and leveled,▢ ¼ cup (21 g) unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ 1 ½ teaspoons cornstarch,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened",▢ ¾ cup (160 g) packed light brown sugar,▢ ¼ cup (50 g) granulated white sugar plus more for rolling in,▢ 1 large egg room temperature,▢ 1 ½ tablespoons buttermilk or regular milk,Boston Girl Bakes,https://www.bostongirlbakes.com/red-velvet-crinkle-cookies/,▢ 2 teaspoons vanilla extract,▢ 1 tablespoon red food coloring,▢ Powdered sugar for rolling in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Heather Perine,Noratingsyet,,10 minutes,10 minutes,20 minutes,6 servings,7,▢ 1 cup (120g) all-purpose flour heat-treated,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ ½ cup (107 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 1 teaspoon pure vanilla extract,▢ 2 Tablespoons whole milk,▢ ½ cup (84 g) mini chocolate chips,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/edible-cookie-dough/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pizookie,Heather Perine,5, 1 ,15 minutes,25 minutes,40 minutes,12 servings,11,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter, melted and slightly cooled",▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg at room temperature,▢ 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 ½ cup (255 g) semi sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/pizookie/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
